평가년도,도서관구분,도서관코드,도서관명,행정구역,시군구,장서수,사서수,대출자수,대출권수,도서예산
2022,LIBTYPE000003,211045,숭의여자대학교 학술정보센터,서울,중구,195680,0,175,12371,109954910
2022,LIBTYPE000003,241035,신구대학교 도서관,경기,성남시,202000,2,482,13894,183627464
2022,LIBTYPE000003,221020,신라대학교 도서관,부산,사상구,749483,5,1513,22404,448976372
2022,LIBTYPE000003,244027,신성대학교 도서관,충남,당진시,193466,2,660,6685,115545164
2022,LIBTYPE000003,241059,신안산대학교 도서관,경기,안산시,140343,1,258,1351,66000000
2022,LIBTYPE000003,L241036,신한대학교 중앙도서관,경기,의정부시,477971,4,1006,7385,419799882
2022,LIBTYPE000003,241088,실천신학대학원대학교 도서관,경기,이천시,13291,0,14,144,1192580
2022,LIBTYPE000003,241037,아신대학교 도서관,경기,양평군,142689,1,467,9654,73008282
2022,LIBTYPE000003,241038,아주대학교 도서관,경기,수원시,1094949,7,6936,83719,1571212370
2022,LIBTYPE000003,241074,아주대학교 의학문헌정보센터,경기,수원시,63659,3,250,1162,1622129238
2022,LIBTYPE000003,244038,아주자동차대학교 도서관,충남,보령시,47980,0,122,1509,20399460
2022,LIBTYPE000003,247016,안동과학대학교 도서관,경북,안동시,141169,2,274,5233,76749993
2022,LIBTYPE000003,247015,안동대학교 도서관,경북,안동시,834174,9,2773,31801,570397080
2022,LIBTYPE000003,241061,안산대학교 도서관,경기,안산시,202467,1,1176,14656,127643530
2022,LIBTYPE000003,241012,안양대학교 도서관,경기,안양시,489924,2,362,2874,309000000
2022,LIBTYPE000003,241082,에스라성경대학원대학교 도서관,경기,고양시,9790,0,63,943,1989149
2022,LIBTYPE000003,241078,여주대학교 여암학술정보관,경기,여주시,208709,2,231,3063,110960000
2022,LIBTYPE000003,241040,연성대학교 연곡도서관,경기,안양시,215360,1,1221,12502,151214447
2022,LIBTYPE000003,211072,연세대학교 의학도서관,서울,서대문구,226657,6,2076,16828,3234996709
2022,LIBTYPE000003,211046,연세대학교 학술문화처 도서관,서울,서대문구,2637735,27,15775,322109,5507293570
2022,LIBTYPE000003,242018,연세대학교(미래) 원주캠퍼스 의학도서관,강원,원주시,108275,3,584,4979,865802919
2022,LIBTYPE000003,242009,연세대학교(미래) 학술정보원,강원,원주시,515560,6,1876,109150,678933858
2022,LIBTYPE000003,248008,연암공과대학교 도서관,경남,진주시,68594,0,151,2720,34825710
2022,LIBTYPE000003,244010,연암대학교 도서관,충남,천안시,72989,0,245,1344,51999990
2022,LIBTYPE000003,247017,영남대학교 도서관,경북,경산시,1866054,20,6642,67112,1800201449
2022,LIBTYPE000003,322007,영남대학교 의과대학 의학도서관,대구,남구,28822,3,451,3485,752909694
2022,LIBTYPE000003,247018,영남신학대학교 도서관,경북,경산시,145884,1,251,2396,17135462
2022,LIBTYPE000003,247034,영남외국어대학 도서관,경북,경산시,26632,0,43,63,0
2022,LIBTYPE000003,222013,영남이공대학교 도서관,대구,남구,221895,0,661,7178,157165783
2022,LIBTYPE000003,248026,영산대학교 도서관,경남,양산시,524831,6,1176,19920,345263744
2022,LIBTYPE000003,246010,영산선학대학교 도서관,전남,영광군,51938,1,49,963,3330000
2022,LIBTYPE000003,222014,영진전문대학교 도서관,대구,북구,369225,4,2005,19530,245099880
2022,LIBTYPE000003,241087,예명대학원대학교 도서관,서울,서초구,17627,0,14,77,5149840
2022,LIBTYPE000003,245007,예수대학교 도서관,전북,전주시,47189,0,190,17225,31706040
2022,LIBTYPE000003,245027,예원예술대학교 도서관,전북,임실군,42272,0,78,836,832410
2022,LIBTYPE000003,241041,오산대학교 도서관,경기,오산시,177766,0,398,3817,123963290
2022,LIBTYPE000003,L0045,온석대학원대학교 학술정보원,경기,용인시,31406,1,3,15,301700
2022,LIBTYPE000003,241015,용인대학교 도서관,경기,용인시,437261,2,346,10202,340337212
